554,568
288,294
531,541
680,680
437,441
994,992
661,664
172,180
977,980
701,693
273,273
72,93
772,791
67,68
194,188
107,109
933,935
366,369
533,530
158,165
390,381
899,901
579,588
19,20
93,95
404,403
867,904
721,651
851,832
479,488
784,782
753,763
563,571
168,169
704,709
391,380
773,790
287,291
534,534
871,872
612,615
287,294
171,182
663,667
125,128
42,280
625,626
820,776
395,400
333,335
210,208
54,53
147,161
848,846
731,732
80,94
588,560
596,617
187,192
552,553
359,363
507,527
825,830
437,698
305,303
885,911
74,88
980,983
38,39
148,162
311,308
563,568
215,215
673,675
28,25
234,237
36,678
352,348
595,610
253,253
543,549
351,339
358,360
483,487
906,911
131,129
405,400
48,51
914,909
69,82
870,872
988,987
24,25
838,830
857,860
318,318
103,113
863,873
995,999
482,481
